Query,Relevant Axioms IDs,Size of relevant axioms,Word2Vec_Ranking,BERT_Ranking,SBERT_Ranking,SapBERT_Ranking,owl2vec_iri_Ranking,owl2vec_Ranking,owl2vec_pretrained_Ranking
It is a 'generically dependent continuant' that is the pattern of a non-atomic 'geological object''s internal arrangement.,"['114', '11', '66', '111', '116', '39', '181', '163', '125']",9,"['114', '66', '181', '126', '176', '124', '207', '163', '156', '10']","{'114': 0.8765944, '181': 0.8704982, '66': 0.84697384, '156': 0.8364903, '162': 0.8339617, '120': 0.8238946, '21': 0.8214002, '196': 0.8204936, '203': 0.8146745, '35': 0.8072641}","{'114': 0.6796919, '181': 0.58832324, '163': 0.5532882, '66': 0.5404415, '124': 0.52190274, '117': 0.51983094, '61': 0.5100864, '5': 0.5057488, '33': 0.47472396, '92': 0.4545824}","{'114': 0.86036175, '181': 0.7200244, '21': 0.695991, '117': 0.68704313, '98': 0.675769, '163': 0.6750165, '66': 0.67254114, '120': 0.66231275, '143': 0.6603696, '167': 0.65913886}","{'131': 0.9493324, '44': 0.9464011, '88': 0.9433089, '9': 0.92708045, '56': 0.9262175, '179': 0.926129, '95': 0.92487717, '58': 0.9245766, '57': 0.92456913, '151': 0.9243777}","{'116': 0.9852749, '39': 0.9851569, '114': 0.98514855, '193': 0.98509926, '95': 0.98499155, '56': 0.9849731, '43': 0.98478365, '58': 0.984544, '12': 0.9845428, '72': 0.9844286}","{'28': 0.99966824, '32': 0.9996675, '13': 0.99966735, '140': 0.99951005, '46': 0.99950373, '105': 0.99950224, '129': 0.99949586, '29': 0.99937546, '169': 0.99936837, '52': 0.99929965}"
"An entity that has temporal parts and that happens, unfolds or develops through time.","['191', '135', '80', '112', '202']",5,"['156', '162', '78', '65', '137', '107', '13', '29', '119', '166']","{'120': 0.8170718, '181': 0.80828065, '109': 0.80617046, '160': 0.8049714, '162': 0.7948359, '118': 0.78853476, '75': 0.78769886, '117': 0.7865584, '203': 0.77597064, '196': 0.76130015}","{'80': 0.6227169, '128': 0.56494206, '191': 0.5264913, '142': 0.49054006, '14': 0.4517315, '174': 0.44247317, '126': 0.43542415, '65': 0.42136455, '124': 0.29320505, '66': 0.28258342}","{'80': 0.7027932, '112': 0.69578874, '202': 0.6615805, '128': 0.66142714, '142': 0.62367404, '191': 0.59854776, '101': 0.59376377, '14': 0.57768494, '60': 0.5750159, '106': 0.5742995}","{'131': 0.93205863, '44': 0.92972517, '1': 0.925182, '14': 0.92267966, '207': 0.9223084, '91': 0.9222687, '115': 0.9217041, '122': 0.9206776, '145': 0.9203569, '210': 0.9199248}","{'84': 0.9709958, '4': 0.9697622, '75': 0.96943754, '2': 0.96936274, '117': 0.969273, '155': 0.9686992, '33': 0.96866584, '11': 0.96866304, '22': 0.96860015, '159': 0.96546507}","{'124': 0.99929523, '53': 0.9990839, '104': 0.9990817, '90': 0.9990759, '71': 0.9990738, '107': 0.9990735, '89': 0.99895424, '68': 0.9986008, '122': 0.9984556, '139': 0.9983404}"
"An entity that exists in full at any time in which it exists at all, persists through time while maintaining its identity and has no temporal parts.","['51', '10', '174', '20']",4,"['162', '126', '67', '156', '157', '125', '65', '167', '92', '33']","{'125': 0.8343505, '157': 0.83377355, '162': 0.82305104, '208': 0.82047874, '167': 0.8199304, '160': 0.8191668, '67': 0.818982, '109': 0.8131001, '181': 0.797097, '133': 0.793675}","{'191': 0.4831484, '174': 0.46969265, '65': 0.46410432, '126': 0.4430678, '5': 0.4308737, '167': 0.41543978, '128': 0.40735364, '14': 0.34351626, '114': 0.28239202, '124': 0.2535251}","{'5': 0.70069325, '174': 0.6904084, '167': 0.68476933, '20': 0.6575855, '15': 0.65110105, '92': 0.6490723, '65': 0.6427063, '10': 0.6390257, '67': 0.618839, '112': 0.6170326}","{'131': 0.93077874, '14': 0.9280883, '44': 0.925932, '1': 0.9205471, '115': 0.91928685, '91': 0.9176768, '56': 0.9158389, '102': 0.91552114, '19': 0.9147266, '138': 0.9131069}","{'120': 0.9743619, '146': 0.96916753, '2': 0.9666803, '11': 0.96664053, '84': 0.966457, '155': 0.96645516, '22': 0.9662301, '75': 0.96577376, '4': 0.9656119, '117': 0.96499914}","{'203': 0.99918073, '222': 0.9990936, '152': 0.99907774, '212': 0.9990686, '7': 0.9990587, '159': 0.9989949, '156': 0.9984738, '181': 0.9984718, '196': 0.9980748, '35': 0.9979728}"
"Duplex : a set of imbricate (overlapping,stacking) thrusts which branch off from a single fault below and merge with a thrust fault above and which isolate rock bodies (horses).",['57'],1,"['122', '42', '13', '11', '63', '207', '194', '115', '119', '22']","{'187': 0.8862046, '8': 0.852876, '146': 0.8513763, '184': 0.85105664, '111': 0.8463678, '96': 0.8430834, '152': 0.84036195, '153': 0.83881134, '222': 0.8344386, '35': 0.81958663}","{'58': 0.5125812, '194': 0.48527044, '2': 0.43955347, '212': 0.40352833, '146': 0.39448148, '222': 0.33076215, '33': 0.316194, '152': 0.3048294, '114': 0.2888634, '163': 0.28035137}","{'58': 0.6551448, '222': 0.6173855, '212': 0.60988486, '59': 0.60816896, '194': 0.5996851, '70': 0.5949522, '122': 0.58759063, '89': 0.58269966, '155': 0.5745167, '26': 0.57138264}","{'212': 0.92444694, '95': 0.92209595, '56': 0.91783154, '88': 0.9167893, '44': 0.91628075, '58': 0.91624254, '131': 0.91545284, '24': 0.91181886, '59': 0.91106087, '222': 0.9079248}","{'222': 0.9525821, '32': 0.9508457, '212': 0.9506029, '13': 0.950064, '28': 0.9477947, '152': 0.9372326, '203': 0.9367501, '66': 0.9355452, '23': 0.93507934, '59': 0.9345692}","{'96': 0.99827445, '186': 0.9982731, '72': 0.99824685, '44': 0.9982366, '197': 0.9982289, '183': 0.99822843, '86': 0.9982162, '192': 0.99821186, '165': 0.99820435, '130': 0.9981836}"
Protolith Role: a role that is role_of  some amount of rock. It indicates the original rock type of the rock before the rock participate_in some Geological Process.,"['45', '152', '25']",3,"['45', '152', '31', '155', '33', '97', '129', '147', '192', '100']","{'45': 0.90112156, '152': 0.87136513, '97': 0.8568999, '120': 0.85181075, '159': 0.85006964, '117': 0.8490213, '181': 0.840111, '29': 0.8393325, '35': 0.8389102, '196': 0.8294296}","{'45': 0.7686699, '25': 0.65671134, '152': 0.45890284, '159': 0.39968836, '33': 0.39131194, '181': 0.36051804, '114': 0.3318694, '66': 0.31823495, '163': 0.31596014, '124': 0.29278323}","{'33': 0.7689551, '45': 0.7171468, '97': 0.7080715, '129': 0.7053745, '147': 0.68655777, '130': 0.6818873, '113': 0.6787763, '100': 0.6770786, '159': 0.67697597, '152': 0.6727242}","{'152': 0.9268526, '155': 0.91933715, '45': 0.91671795, '11': 0.9159454, '186': 0.9154137, '129': 0.91490346, '22': 0.91473395, '137': 0.9095313, '59': 0.9093167, '50': 0.90204746}","{'152': 0.9294278, '23': 0.92302114, '45': 0.9228505, '59': 0.92265, '52': 0.9210797, '36': 0.91858715, '141': 0.91844994, '108': 0.9183586, '29': 0.9176572, '169': 0.9176532}","{'28': 0.9994427, '129': 0.9993571, '140': 0.9993553, '52': 0.9993547, '169': 0.99935174, '105': 0.9993513, '46': 0.99934846, '45': 0.99934286, '29': 0.9992685, '100': 0.999171}"
Barrier: a role that is role_of some Fault Zone that not allows fluid flow.,"['169', '54']",2,"['7', '169', '146', '69', '89', '140', '24', '166', '63', '78']","{'40': 0.90061426, '169': 0.8988351, '29': 0.8986349, '149': 0.8983159, '108': 0.8977768, '153': 0.8960534, '141': 0.8958556, '69': 0.8956697, '36': 0.89564496, '212': 0.89079034}","{'169': 0.7637585, '141': 0.65362144, '53': 0.63712376, '104': 0.6315421, '29': 0.62893605, '36': 0.6276907, '108': 0.5960704, '161': 0.5954286, '89': 0.5914402, '69': 0.5762789}","{'169': 0.83836657, '54': 0.74955964, '175': 0.6225161, '29': 0.6109596, '40': 0.60724795, '141': 0.6071987, '108': 0.6019429, '185': 0.59946394, '36': 0.59467626, '90': 0.58284074}","{'45': 0.9460875, '25': 0.9452628, '206': 0.942858, '81': 0.9428384, '138': 0.9416024, '102': 0.9412149, '154': 0.9409261, '54': 0.9398791, '123': 0.9364329, '59': 0.9321079}","{'152': 0.9731172, '29': 0.97206986, '169': 0.97170824, '108': 0.96660495, '45': 0.9664841, '141': 0.9662581, '36': 0.96607375, '59': 0.96477914, '23': 0.9646684, '52': 0.9646445}","{'124': 0.99912995, '89': 0.99885315, '53': 0.9988114, '104': 0.9987977, '90': 0.99879485, '107': 0.9987931, '71': 0.9987888, '139': 0.99836576, '68': 0.998357, '150': 0.9982433}"
Fault Strike Azimuth: it measures the strike azimuth of the Fault Surface Location.,['19'],1,"['19', '7', '200', '46', '88', '69', '89', '212', '99', '140']","{'6': 0.84600365, '200': 0.83673257, '99': 0.8365215, '43': 0.8317002, '161': 0.8290783, '184': 0.82638294, '96': 0.8219305, '8': 0.81923157, '212': 0.81673515, '187': 0.81448746}","{'19': 0.7892863, '72': 0.64999497, '131': 0.61870587, '43': 0.6168676, '44': 0.6163908, '141': 0.6089449, '46': 0.6053964, '69': 0.60374916, '7': 0.5925993, '222': 0.58890855}","{'19': 0.7632369, '72': 0.70721424, '131': 0.6996716, '7': 0.6769085, '46': 0.6746161, '44': 0.6577748, '200': 0.6358472, '222': 0.62703764, '140': 0.61653715, '6': 0.6118772}","{'105': 0.8758918, '62': 0.8632988, '201': 0.86321294, '150': 0.86087626, '198': 0.8607727, '46': 0.8513815, '50': 0.8468971, '170': 0.83994246, '78': 0.83363354, '220': 0.8243867}","{'150': 0.84836876, '198': 0.84097195, '105': 0.819725, '220': 0.81550646, '212': 0.8151125, '46': 0.81015337, '16': 0.8097723, '140': 0.80340016, '129': 0.79753274, '222': 0.7915822}","{'161': 0.9972008, '85': 0.9971907, '89': 0.9971722, '150': 0.9969978, '139': 0.99687064, '53': 0.99666625, '71': 0.99666405, '90': 0.99665844, '107': 0.9966482, '104': 0.9966476}"
Unconsolidated earth material is an 'earth material' that is consituted by an aggregate of solid particles but is not consolidated into a 'rock' it self.,['133'],1,"['133', '147', '203', '180', '109', '75', '41', '33', '192', '100']","{'133': 0.88376355, '203': 0.85600543, '180': 0.84990466, '147': 0.8444258, '196': 0.83160746, '181': 0.82689667, '120': 0.8201239, '124': 0.8193131, '97': 0.8167176, '35': 0.8035973}","{'133': 0.81073517, '109': 0.6035427, '203': 0.57658714, '147': 0.5672165, '75': 0.5645606, '163': 0.44122207, '159': 0.43638346, '33': 0.39661926, '124': 0.38035607, '114': 0.3333785}","{'133': 0.81671953, '147': 0.791562, '203': 0.77822715, '180': 0.73683155, '41': 0.7315084, '109': 0.7064074, '124': 0.70261884, '75': 0.6994554, '163': 0.6872961, '33': 0.6764728}","{'180': 0.9436714, '41': 0.9429202, '133': 0.94230133, '136': 0.94142133, '48': 0.94027036, '9': 0.93807954, '131': 0.9351188, '44': 0.9305366, '19': 0.92740786, '99': 0.926754}","{'31': 0.9827922, '155': 0.9827706, '84': 0.9824176, '11': 0.98222166, '147': 0.9816595, '124': 0.98142827, '180': 0.98105127, '41': 0.98053336, '186': 0.9804549, '133': 0.97982407}","{'203': 0.9992026, '222': 0.9991652, '152': 0.99904764, '212': 0.9990068, '7': 0.99899215, '120': 0.9989132, '146': 0.99875104, '118': 0.99857265, '35': 0.99824667, '196': 0.9982217}"
"Anastomosing: a set of fault surfaces that merge and diverge along strike, thereby creating a braided pattern in map view or cross section.",['115'],1,"['85', '115', '139', '63', '194', '122', '161', '172', '24', '28']","{'187': 0.89063096, '43': 0.8789826, '111': 0.8777212, '184': 0.87667024, '8': 0.8740061, '96': 0.8716121, '18': 0.8705174, '222': 0.8687306, '39': 0.86236244, '212': 0.85091865}","{'115': 0.5440965, '7': 0.4319688, '146': 0.4220782, '6': 0.41783404, '127': 0.4132498, '156': 0.4115316, '74': 0.39450166, '222': 0.36275473, '152': 0.32697004, '124': 0.23646478}","{'115': 0.7821438, '122': 0.6487077, '210': 0.6246335, '58': 0.6206757, '29': 0.6177443, '1': 0.60966986, '24': 0.6073557, '13': 0.6063776, '146': 0.5973151, '194': 0.5950197}","{'44': 0.93567824, '131': 0.93180156, '88': 0.92927843, '145': 0.9250392, '122': 0.9239543, '1': 0.92345357, '91': 0.9231094, '207': 0.92292315, '212': 0.9194951, '222': 0.9026227}","{'13': 0.9533449, '32': 0.95238614, '28': 0.9475514, '212': 0.9473077, '222': 0.9415723, '105': 0.93870074, '46': 0.93588567, '152': 0.9349965, '140': 0.93410176, '66': 0.93246204}","{'222': 0.99865663, '212': 0.9982169, '203': 0.9977312, '7': 0.99761033, '35': 0.9974534, '152': 0.9974477, '159': 0.9973536, '156': 0.9972707, '181': 0.9972639, '196': 0.9969107}"
"Minor Fault (synonym: Subsidiary fault, Spaly fault): a role is role_of  some Fault Zone. It can be realized when a Fault Zone having a minor displacement than a Major Fault within a Fault System.","['64', '137', '141', '100']",4,"['220', '141', '108', '36', '222', '212', '153', '53', '107', '102']","{'108': 0.9209007, '141': 0.91589355, '36': 0.9130593, '40': 0.91135657, '53': 0.9020459, '153': 0.9002803, '161': 0.8992384, '146': 0.89681876, '212': 0.89146316, '2': 0.8885875}","{'220': 0.7972524, '64': 0.7352787, '108': 0.7284131, '141': 0.7265243, '154': 0.69265395, '206': 0.6524078, '36': 0.63589704, '43': 0.56251156, '222': 0.5512048, '156': 0.51126266}","{'108': 0.7649641, '141': 0.76377887, '220': 0.7615459, '36': 0.7345954, '53': 0.70947, '90': 0.70932037, '104': 0.70787746, '69': 0.70206, '40': 0.69188166, '107': 0.68838006}","{'138': 0.960438, '102': 0.9587549, '59': 0.94901854, '52': 0.94320714, '23': 0.9429392, '94': 0.9418313, '141': 0.9416834, '76': 0.94076544, '45': 0.94071764, '220': 0.9389729}","{'152': 0.9684851, '169': 0.96238583, '29': 0.96212447, '23': 0.96204686, '108': 0.9610195, '141': 0.96101505, '36': 0.9609251, '52': 0.96077335, '59': 0.95976603, '45': 0.95793253}","{'222': 0.99943304, '212': 0.9992178, '7': 0.999185, '203': 0.99914676, '152': 0.9991467, '120': 0.9991377, '159': 0.9990101, '146': 0.9988755, '35': 0.99853665, '196': 0.99832064}"
Synthetic Fault: a Subsidiary Fault. It can be realized when a Fault Zone having a dip direction parallel to that of the Major Fault Zone belonging to the same Fault System.,['100'],1,"['108', '153', '53', '212', '220', '222', '161', '89', '69', '193']","{'108': 0.9043505, '161': 0.9034914, '141': 0.89760685, '53': 0.8966342, '36': 0.89557374, '69': 0.8921048, '153': 0.8920255, '40': 0.89116776, '212': 0.8834609, '222': 0.882425}","{'102': 0.74589103, '108': 0.7427496, '220': 0.72998136, '141': 0.7049714, '36': 0.68211704, '43': 0.66334414, '89': 0.65644956, '156': 0.6154313, '222': 0.58858454, '127': 0.5760573}","{'108': 0.75945437, '220': 0.70657116, '99': 0.6839583, '146': 0.68203324, '200': 0.6783095, '69': 0.6707471, '154': 0.6632998, '2': 0.64842546, '89': 0.64538914, '63': 0.645363}","{'131': 0.94728386, '44': 0.9472637, '220': 0.9446135, '88': 0.93975157, '138': 0.93857986, '102': 0.93783057, '1': 0.9341885, '56': 0.93097925, '105': 0.9233875, '212': 0.9195422}","{'152': 0.966556, '220': 0.96298915, '156': 0.9608979, '66': 0.9603419, '181': 0.95844215, '13': 0.95724666, '11': 0.9570879, '22': 0.9554921, '212': 0.95540714, '7': 0.9540994}","{'159': 0.9990501, '119': 0.99900734, '42': 0.9990042, '63': 0.998998, '194': 0.9989953, '33': 0.9989178, '156': 0.99879885, '181': 0.99879014, '66': 0.99877715, '84': 0.9987568}"
Fault Tip Line: a two-dimensional continuant fiat-boundary that is the locus of the points of the Fault Zone where theoretically the shear displacement goes to zero,"['162', '85', '74']",3,"['85', '161', '74', '127', '89', '69', '200', '146', '7', '105']","{'74': 0.9335027, '6': 0.8884441, '69': 0.87688065, '212': 0.86038053, '200': 0.85572326, '99': 0.8525684, '96': 0.8506391, '156': 0.8430994, '21': 0.84054196, '222': 0.83851105}","{'74': 0.8249755, '127': 0.7940867, '161': 0.75034845, '85': 0.712994, '89': 0.69532645, '69': 0.68618643, '43': 0.6773101, '146': 0.63546205, '222': 0.6239847, '21': 0.6239171}","{'74': 0.8181242, '127': 0.7834782, '161': 0.7427295, '69': 0.7363558, '89': 0.7231974, '85': 0.6991031, '146': 0.69874537, '79': 0.6951796, '40': 0.6787852, '108': 0.67428505}","{'44': 0.9189886, '131': 0.91830635, '194': 0.9175571, '63': 0.9168539, '119': 0.9167903, '2': 0.9161184, '85': 0.9157298, '137': 0.91300553, '22': 0.9096974, '220': 0.9046236}","{'166': 0.9700604, '61': 0.969911, '137': 0.9697104, '153': 0.9681699, '185': 0.96657175, '40': 0.96655846, '24': 0.96645755, '149': 0.9662738, '182': 0.9660126, '97': 0.96445507}","{'89': 0.9992329, '161': 0.9991863, '85': 0.9991852, '163': 0.9990896, '53': 0.9989909, '104': 0.9989826, '90': 0.99898094, '71': 0.998978, '107': 0.99897444, '172': 0.9984298}"
Dextral Fault: a Strike-Slip Fault that that the Fault Wall on the opposite side of the fault from an observer has moved to the right.,['131'],1,"['131', '222', '44', '99', '200', '193', '212', '43', '72', '88']","{'131': 0.9011736, '44': 0.8941772, '72': 0.88927853, '88': 0.8880394, '184': 0.8786459, '43': 0.87849605, '96': 0.87422556, '222': 0.8731185, '146': 0.8717451, '99': 0.8679296}","{'131': 0.78618634, '44': 0.7068172, '222': 0.68004537, '72': 0.67075616, '173': 0.60098267, '138': 0.5959821, '19': 0.59110284, '43': 0.57241356, '212': 0.5416781, '127': 0.48723748}","{'131': 0.7129735, '99': 0.6757046, '88': 0.65491617, '200': 0.6464753, '222': 0.61951506, '24': 0.6182686, '179': 0.61691165, '46': 0.613747, '184': 0.60355276, '44': 0.601925}","{'220': 0.9076257, '44': 0.9037013, '107': 0.900594, '131': 0.8984938, '13': 0.8939336, '90': 0.8914622, '40': 0.8911936, '32': 0.8910114, '137': 0.8870831, '88': 0.8855922}","{'220': 0.95510995, '13': 0.9489304, '28': 0.94846636, '32': 0.9478203, '152': 0.9470544, '33': 0.9459178, '7': 0.94572467, '159': 0.9444336, '11': 0.9441389, '212': 0.94373786}","{'89': 0.99898434, '71': 0.99880606, '53': 0.9987977, '90': 0.99879646, '104': 0.99879056, '107': 0.9987873, '124': 0.99864125, '139': 0.998515, '68': 0.9984144, '122': 0.99831223}"
Conduit: a role that is role_of some Fault Zone that t allows fluid flow.,"['29', '81']",2,"['29', '63', '7', '166', '78', '24', '140', '69', '89', '169']","{'29': 0.9029515, '169': 0.88663787, '46': 0.87745416, '69': 0.8774494, '108': 0.87526757, '141': 0.87511635, '40': 0.87370765, '212': 0.87205863, '196': 0.8713835, '152': 0.86904585}","{'29': 0.77336514, '169': 0.6129361, '81': 0.598431, '141': 0.5946206, '36': 0.5871495, '108': 0.58340263, '156': 0.5176225, '170': 0.50322527, '127': 0.47361016, '222': 0.46087694}","{'29': 0.8689875, '81': 0.7731482, '169': 0.6049015, '115': 0.6042328, '90': 0.59882355, '71': 0.59799564, '40': 0.5957078, '78': 0.59417415, '107': 0.59361637, '36': 0.5922879}","{'25': 0.95358264, '206': 0.9530742, '45': 0.9529455, '81': 0.9522118, '138': 0.95084673, '102': 0.95046747, '154': 0.9497839, '54': 0.9495875, '123': 0.9475422, '59': 0.94412005}","{'152': 0.9764769, '29': 0.9745159, '169': 0.9741613, '108': 0.9696853, '36': 0.96959543, '141': 0.96921813, '45': 0.9691498, '59': 0.9677445, '23': 0.96757567, '52': 0.9656901}","{'124': 0.99909383, '89': 0.9988886, '53': 0.99875224, '107': 0.9987423, '104': 0.9987411, '90': 0.99873877, '71': 0.998734, '68': 0.99853235, '139': 0.9985125, '207': 0.99831676}"
Slickenline: a parallel straight line scratches or grooves.,['68'],1,"['194', '134', '63', '139', '24', '28', '172', '68', '85', '140']","{'68': 0.81362003, '139': 0.7823999, '134': 0.7697676, '62': 0.74775916, '222': 0.74680245, '96': 0.74463916, '220': 0.73972976, '212': 0.7322357, '196': 0.72740024, '35': 0.7138439}","{'68': 0.6020688, '139': 0.47794372, '134': 0.4596337, '74': 0.33915052, '76': 0.32468724, '161': 0.32307425, '85': 0.3123957, '127': 0.28576812, '170': 0.27192137, '222': 0.24908414}","{'68': 0.7359111, '139': 0.67761743, '44': 0.53846556, '150': 0.51623666, '105': 0.5020032, '201': 0.4983994, '134': 0.49626955, '198': 0.49503934, '85': 0.4941584, '192': 0.48944864}","{'145': 0.9434632, '207': 0.9401801, '122': 0.93993884, '13': 0.9398102, '210': 0.9382729, '91': 0.9377306, '1': 0.9368308, '115': 0.9353117, '32': 0.9257916, '68': 0.9229926}","{'13': 0.92407674, '28': 0.92364764, '207': 0.92342526, '32': 0.9234011, '145': 0.92312217, '68': 0.9230741, '210': 0.9222801, '122': 0.9221074, '115': 0.92069274, '139': 0.919813}","{'84': 0.9923184, '2': 0.99228513, '4': 0.9922767, '117': 0.99225795, '75': 0.9922263, '22': 0.9919718, '11': 0.9919444, '155': 0.9918738, '33': 0.99175155, '220': 0.99154246}"
Fault Breccia: a Brittle Fault Rock containing at least in volume  30 %  “large” clasts (having a average clast size > 2 mm in diameter).,['187'],1,"['37', '192', '186', '31', '11', '84', '139', '22', '172', '2']","{'31': 0.8452723, '192': 0.8329879, '11': 0.8195392, '152': 0.8193209, '84': 0.8181004, '196': 0.81714, '22': 0.81616443, '35': 0.8105158, '97': 0.8077429, '2': 0.8004799}","{'186': 0.8126814, '96': 0.7113715, '31': 0.67932355, '84': 0.6780598, '22': 0.64685094, '192': 0.62917763, '146': 0.62509364, '2': 0.60458565, '11': 0.58867455, '156': 0.5222477}","{'186': 0.6781062, '192': 0.64416504, '37': 0.6012858, '22': 0.578933, '8': 0.56135535, '30': 0.56029004, '96': 0.55431414, '11': 0.55078995, '2': 0.5410639, '151': 0.541042}","{'37': 0.91019666, '186': 0.90835446, '96': 0.9008383, '50': 0.9001391, '192': 0.8946192, '129': 0.89046615, '170': 0.8865368, '11': 0.88578725, '22': 0.8808981, '105': 0.88036436}","{'37': 0.9206761, '50': 0.9015526, '146': 0.895389, '120': 0.89310205, '17': 0.8921394, '129': 0.8908139, '105': 0.8874049, '192': 0.8860728, '186': 0.8851943, '46': 0.8841703}","{'66': 0.99534595, '84': 0.9951859, '4': 0.99518234, '117': 0.9951535, '2': 0.99515176, '75': 0.9951467, '33': 0.9950167, '22': 0.9948645, '11': 0.9948505, '155': 0.9948249}"
Thrust Fault: a conjunction of Reverse Fault and Low-angle Fault,"['88', '212']",2,"['212', '88', '222', '193', '43', '72', '99', '131', '200', '57']","{'222': 0.9095458, '212': 0.90540355, '88': 0.8968478, '43': 0.8955347, '96': 0.88812757, '72': 0.8867154, '187': 0.8832396, '184': 0.8762858, '138': 0.87063116, '200': 0.8658267}","{'212': 0.9216383, '88': 0.89753616, '222': 0.68969584, '173': 0.6560142, '43': 0.6543188, '72': 0.6304009, '179': 0.6238351, '200': 0.6040667, '131': 0.57099724, '156': 0.51296234}","{'212': 0.8837936, '88': 0.8421554, '193': 0.7230219, '222': 0.68412364, '179': 0.6510539, '43': 0.64733446, '96': 0.6386346, '173': 0.634294, '86': 0.63338697, '31': 0.6266251}","{'212': 0.8665208, '222': 0.8612838, '76': 0.8418557, '105': 0.84085333, '94': 0.8402723, '88': 0.83976775, '71': 0.8327524, '52': 0.8318254, '23': 0.83158994, '44': 0.8308723}","{'222': 0.9175111, '32': 0.9137001, '13': 0.91235524, '28': 0.90627545, '212': 0.9005037, '129': 0.89926636, '105': 0.89884615, '203': 0.89675343, '45': 0.89540195, '23': 0.8944664}","{'105': 0.9993638, '141': 0.99927616, '59': 0.99926716, '108': 0.99926645, '23': 0.9992631, '36': 0.9992596, '45': 0.99925613, '100': 0.9991732, '170': 0.99909186, '78': 0.99900204}"
Smeared:a quality that is quality_of  some Fault Core Membrane. It specifies whether the membrane has been ductically stretched.,"['38', '48', '136', '16', '178']",5,"['178', '16', '78', '11', '166', '18', '63', '195', '140', '156']","{'178': 0.8328726, '78': 0.8326249, '105': 0.8179123, '46': 0.80675673, '140': 0.79792386, '194': 0.7913404, '62': 0.78470504, '156': 0.7829312, '115': 0.7795032, '220': 0.77077943}","{'16': 0.84276164, '178': 0.8270227, '78': 0.72248745, '166': 0.6499708, '11': 0.596078, '170': 0.5091814, '63': 0.5038183, '105': 0.48264995, '156': 0.42664173, '127': 0.4161158}","{'16': 0.85864687, '178': 0.822999, '38': 0.7107785, '48': 0.68635017, '136': 0.6371161, '166': 0.6266769, '11': 0.5992301, '78': 0.5953716, '155': 0.593737, '144': 0.5904423}","{'178': 0.93662685, '16': 0.93441194, '78': 0.93014824, '11': 0.9109837, '50': 0.91005194, '166': 0.9085093, '136': 0.90604913, '48': 0.9030206, '170': 0.9010748, '105': 0.89221203}","{'78': 0.9608067, '178': 0.9562611, '170': 0.94640774, '50': 0.9433444, '16': 0.930697, '118': 0.9291257, '53': 0.92075956, '71': 0.91943705, '7': 0.9182999, '107': 0.91823924}","{'163': 0.9993343, '124': 0.9993313, '53': 0.99909246, '104': 0.999077, '107': 0.9990744, '90': 0.99907434, '71': 0.99906975, '161': 0.9990447, '85': 0.9990403, '89': 0.99902916}"
Sinistral Fault: a Strike-Slip Fault that the Fault Wall on the opposite side of the fault from an observer has moved to the left.,['44'],1,"['44', '131', '222', '52', '99', '173', '193', '72', '43', '184']","{'131': 0.9311943, '44': 0.92686546, '72': 0.90906703, '88': 0.895612, '43': 0.8896475, '184': 0.8725231, '222': 0.86011934, '138': 0.8582409, '187': 0.8565217, '96': 0.85596716}","{'44': 0.8193606, '131': 0.6776021, '72': 0.6612139, '222': 0.63810503, '179': 0.615831, '43': 0.60474193, '173': 0.59230745, '19': 0.5799413, '63': 0.52657837, '212': 0.5010067}","{'44': 0.7102272, '131': 0.5860286, '222': 0.5855639, '72': 0.5785851, '24': 0.57283795, '105': 0.5681689, '198': 0.5680995, '19': 0.56785214, '154': 0.5590505, '63': 0.5578875}","{'220': 0.9051072, '107': 0.89877516, '44': 0.8957353, '13': 0.89073884, '131': 0.8900259, '40': 0.8890946, '90': 0.8889966, '137': 0.88687027, '166': 0.8859752, '71': 0.88500965}","{'220': 0.9505275, '13': 0.9434263, '28': 0.94305706, '32': 0.94251, '152': 0.9410525, '212': 0.94045645, '7': 0.9396324, '159': 0.9376278, '33': 0.93737364, '11': 0.9343164}","{'89': 0.9989014, '71': 0.9987083, '90': 0.9986987, '53': 0.9986987, '104': 0.9986917, '107': 0.9986887, '124': 0.9985506, '139': 0.9984879, '68': 0.9983592, '122': 0.9982506}"
